Countries, Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation,Corruption Perceptions Index,Human Development Index
Bangladesh,3.15,3.60,4.31,4.17,3.29,0.94,2.67,4.18,0.76,2.90,5.55,6.68,7.20,14.00,6.25,9.38,6.33,5.63,0.00,2.82,10.00,1.64,0.00,0.00,0.55,4.92,5.00,8.45,10.00,7.82,10.00,4.69,6.28,10.00,1.37,10.00,7.05,3.88,2.67,9.28,1.38,6.45,5.12,4.80,6.56,26,0.661
Barbados,7.22,5.38,5.85,,7.74,3.80,7.58,6.40,0.88,5.91,8.01,2.99,7.86,10.70,5.63,10.91,7.17,6.56,6.16,6.36,10.00,1.64,0.00,0.00,0.55,6.02,8.00,10.00,10.00,9.33,8.90,2.99,6.37,8.00,5.68,10.00,6.99,3.26,6.89,9.41,7.44,5.00,7.30,6.55,7.62,64,0.79
Belarus,3.69,5.11,,5.00,4.22,6.97,9.91,,0.88,5.47,8.45,2.32,8.64,6.80,6.57,8.57,7.89,6.15,9.70,7.93,10.00,1.64,1.54,7.01,3.40,7.30,2.00,8.97,9.00,6.66,10.00,,,10.00,7.76,1.00,7.19,,6.00,9.72,3.32,8.34,8.09,7.10,6.98,47,0.808
Belgium,7.72,7.24,7.86,10.00,8.27,6.53,4.90,7.60,1.00,7.52,8.60,2.10,8.98,5.10,6.51,8.72,8.03,5.64,9.98,7.81,10.00,10.00,3.85,5.00,6.28,8.03,8.00,6.24,10.00,8.08,8.90,3.75,5.85,6.00,10.00,10.00,7.42,3.50,7.78,9.78,9.53,7.46,8.48,7.75,7.75,76,0.937
Belize,6.79,3.69,7.39,,,3.33,7.29,3.33,0.88,4.99,7.47,3.79,7.62,11.90,4.15,14.64,6.41,4.27,6.09,5.18,10.00,1.64,0.00,0.00,0.55,5.54,10.00,4.61,10.00,8.20,7.77,4.97,7.99,8.00,6.55,10.00,7.55,3.72,4.67,8.10,,8.60,8.35,6.69,7.48,,0.683
Benin,5.45,4.95,4.87,,6.01,2.05,6.61,6.67,0.82,4.77,5.84,6.24,7.58,12.10,7.05,7.38,6.82,5.13,5.16,5.15,10.00,1.64,0.77,0.00,0.80,5.69,10.00,9.75,5.00,8.25,7.77,6.13,7.60,8.00,7.57,1.00,6.34,4.54,4.22,9.68,7.88,9.48,6.97,7.13,7.24,41,0.525
Bhutan,6.50,6.62,6.16,,7.45,7.37,6.90,2.46,0.94,6.03,9.20,1.20,5.58,22.10,4.25,14.37,6.34,4.92,9.50,7.21,10.00,1.64,0.00,0.00,0.55,6.03,5.00,9.39,9.00,7.80,10.00,2.01,5.63,10.00,10.00,10.00,7.94,2.54,4.22,9.58,8.23,8.47,9.42,7.08,7.60,68,0.666
Bolivia,3.13,2.50,3.23,4.17,4.04,4.49,6.75,2.72,1.00,3.88,9.24,1.14,7.64,11.80,6.22,9.44,7.70,4.95,3.05,4.00,10.00,4.48,4.62,0.00,3.03,6.18,8.00,4.92,10.00,7.64,1.10,2.05,5.01,8.00,,3.00,3.83,1.85,3.11,8.34,4.90,7.08,0.00,4.22,5.23,31,0.692
Bosnia and Herzegovina,4.13,3.46,3.75,,4.44,3.79,7.66,4.50,0.88,4.27,9.87,0.20,8.74,6.30,6.62,8.44,8.41,6.19,9.59,7.89,10.00,1.64,3.08,3.34,2.69,7.25,10.00,7.39,10.00,9.13,5.57,3.11,7.08,10.00,7.51,10.00,7.21,1.84,4.89,7.26,2.62,7.95,5.39,4.99,7.11,35,0.78
Botswana,6.80,6.36,6.52,8.33,6.68,3.07,7.81,6.30,0.88,6.10,3.00,10.50,8.46,7.70,5.53,11.17,5.66,5.32,9.40,7.36,10.00,10.00,5.38,0.00,5.13,7.04,8.00,6.35,10.00,8.12,10.00,4.96,5.76,10.00,3.78,10.00,7.42,4.15,6.67,8.46,8.28,9.26,8.65,7.58,7.70,60,0.693
Brazil,5.29,4.68,4.89,5.83,5.18,3.33,8.24,3.85,1.00,5.16,8.73,1.90,7.34,13.30,6.12,9.71,7.40,4.04,7.87,5.95,10.00,1.64,2.31,0.00,1.32,6.17,5.00,1.09,7.00,4.36,2.23,2.93,5.48,6.00,7.13,3.00,4.46,1.14,6.22,9.42,5.20,5.40,0.00,4.56,4.46,38,0.754
Brunei Darussalam,5.63,5.25,5.53,8.33,6.67,4.17,4.80,6.47,0.71,5.00,,,9.96,0.20,9.32,1.70,9.64,5.10,2.34,3.72,10.00,,6.15,0.00,3.08,6.61,,8.67,10.00,9.33,10.00,4.91,7.82,10.00,10.00,10.00,8.79,3.89,8.44,9.81,,9.56,9.41,8.22,8.78,60,0.829
Bulgaria,5.61,4.71,4.86,8.33,5.60,5.08,8.72,4.76,1.00,5.96,8.60,2.10,8.98,5.10,6.51,8.72,8.03,5.42,9.85,7.64,10.00,6.88,4.62,6.45,5.98,7.91,10.00,9.62,10.00,9.87,5.57,5.04,7.18,6.00,9.25,10.00,7.17,4.52,5.56,9.25,5.94,9.33,5.06,6.61,7.89,44,0.795
Burkina Faso,5.02,3.80,4.62,3.33,6.25,2.14,4.82,5.72,0.82,4.07,7.69,3.46,7.58,12.10,7.05,7.38,7.44,5.43,3.60,4.52,10.00,1.64,0.77,0.00,0.80,5.69,10.00,7.86,4.00,7.29,6.67,4.60,6.87,6.00,7.94,10.00,7.01,3.77,4.22,9.11,6.22,8.93,6.97,6.54,6.95,40,0.449
Burundi,3.74,3.34,4.31,,3.28,2.81,8.55,5.37,0.82,4.09,8.07,2.90,7.44,12.80,5.14,12.16,6.88,4.55,1.14,2.84,1.72,0.00,1.54,0.00,0.51,2.99,5.00,0.00,10.00,5.00,10.00,5.12,7.45,8.00,7.76,10.00,8.05,4.91,2.44,9.71,3.55,9.76,7.40,6.30,6.45,19,0.426
Cabo Verde,6.55,5.80,5.44,,7.43,6.06,8.92,5.55,1.00,6.54,7.64,3.54,7.96,10.20,4.74,13.16,6.78,5.11,6.66,5.88,10.00,8.80,9.23,0.00,6.01,7.17,10.00,7.31,10.00,9.10,3.90,4.66,6.65,8.00,5.07,1.00,4.88,4.53,6.44,9.58,6.40,9.27,7.98,7.37,7.12,58,0.662
Cambodia,3.20,3.11,4.50,,1.98,1.82,7.55,3.73,1.00,3.70,8.88,1.68,7.92,10.40,6.67,8.32,7.82,5.66,4.00,4.83,10.00,10.00,5.38,0.00,5.13,6.94,,8.76,9.00,8.88,6.67,5.07,5.72,10.00,6.30,5.00,6.46,4.27,5.11,6.04,2.32,4.99,8.06,5.13,6.82,21,0.593
Cameroon,3.49,3.09,4.29,4.17,3.76,2.17,3.97,5.07,0.47,2.76,7.00,4.50,6.36,18.20,6.29,9.28,6.55,5.32,0.00,2.66,10.00,1.64,1.54,0.00,1.06,5.07,5.00,7.54,10.00,7.51,7.23,4.79,6.63,8.00,7.01,10.00,7.28,4.23,3.56,9.27,1.78,8.83,3.01,5.11,6.63,25,0.576
Canada,7.67,7.84,7.72,10.00,8.51,5.82,8.68,7.92,1.00,8.02,9.80,0.30,9.22,3.90,2.56,18.60,7.19,5.94,9.89,7.91,10.00,10.00,7.69,0.00,5.90,7.75,10.00,4.23,10.00,8.08,8.90,6.09,7.24,8.00,8.27,10.00,8.08,4.83,7.56,9.95,8.55,6.85,8.53,7.71,7.96,77,0.936
Central African Republic,5.88,2.24,3.92,,3.08,0.51,4.97,,0.76,3.03,6.29,5.57,6.40,18.00,6.18,9.54,6.29,3.28,2.28,2.78,10.00,1.64,1.54,0.00,1.06,5.03,5.00,10.00,10.00,8.33,0.00,,,6.00,7.01,0.00,3.25,,0.67,7.84,2.13,7.31,4.59,4.50,5.36,26,0.404
Chad,3.16,2.92,3.57,,2.70,2.22,6.79,3.30,0.53,2.69,,,6.42,17.90,6.21,9.49,6.31,3.92,0.77,2.35,10.00,1.64,1.54,0.00,1.06,4.93,2.00,10.00,10.00,7.33,5.00,4.20,6.10,6.00,7.94,3.00,5.37,3.64,0.89,6.28,0.95,7.20,0.65,3.27,5.33,21,0.394
Chile,7.54,6.87,7.16,7.50,7.26,5.37,9.10,7.79,0.82,6.68,9.79,0.31,8.80,6.00,9.83,0.42,9.48,7.01,6.83,6.92,10.00,7.00,2.31,0.00,3.10,7.37,8.00,8.58,7.00,7.86,5.57,3.44,8.30,10.00,2.52,0.00,4.97,4.02,7.33,9.84,7.46,7.74,6.68,7.18,6.67,67,0.855
China,4.28,4.96,5.96,5.00,4.29,4.75,8.32,5.98,0.88,5.12,9.44,0.84,8.50,7.50,7.51,6.23,8.48,5.81,8.64,7.22,10.00,1.64,0.00,0.00,0.55,6.56,2.00,7.49,10.00,6.50,8.90,5.77,6.05,10.00,2.52,0.00,5.54,5.63,3.56,9.71,3.69,9.11,8.45,6.69,6.24,42,0.768
Colombia,5.45,4.75,5.13,4.17,4.61,3.11,9.06,4.33,0.94,4.93,9.27,1.09,8.84,5.80,6.36,9.11,8.16,4.77,3.89,4.33,8.62,4.17,2.31,0.00,2.16,5.82,10.00,4.95,10.00,8.32,8.90,3.67,6.67,10.00,4.82,1.00,5.84,2.80,6.00,9.53,4.86,8.75,7.14,6.51,6.89,39,0.752
Comoros,5.08,2.08,4.33,,5.00,1.65,6.93,,0.71,3.56,,,6.84,15.80,0.00,31.76,3.42,,6.37,6.37,10.00,1.64,4.17,10.00,5.27,6.26,,7.83,10.00,8.91,6.67,,,6.00,8.32,10.00,7.75,,2.00,8.86,4.42,9.17,8.88,6.67,7.78,21,0.558
"Congo, Dem. Rep.",3.49,2.33,3.25,2.50,2.82,0.97,5.96,3.15,0.76,2.70,9.11,1.34,7.80,11.00,7.58,6.05,8.16,5.09,0.00,2.55,10.00,1.64,0.77,0.00,0.80,5.38,0.00,9.06,8.00,5.69,1.67,3.94,6.33,8.00,10.00,3.00,5.49,3.20,0.00,9.59,2.54,8.90,6.12,5.06,5.41,18,0.479
Congo,3.90,3.39,3.69,5.00,2.87,3.01,4.51,,0.59,2.99,9.32,1.02,7.62,11.90,7.00,7.50,7.98,4.41,0.00,2.21,10.00,1.64,1.54,0.00,1.06,5.31,0.00,10.00,4.00,4.67,1.10,5.05,6.64,4.00,7.53,10.00,5.72,3.25,2.67,7.75,4.28,8.23,3.25,4.91,5.10,19,0.571
Costa Rica,7.32,6.15,6.61,10.00,6.59,3.52,8.67,6.03,0.94,6.66,8.71,1.93,8.88,5.60,6.39,9.02,8.00,4.97,7.47,6.22,10.00,10.00,6.15,4.78,6.98,7.80,5.00,3.59,10.00,6.20,2.23,4.32,5.91,8.00,5.66,10.00,6.02,2.78,4.67,9.16,9.21,8.67,8.31,7.13,6.45,57,0.809
Cote d'Ivoire,4.59,4.28,4.94,4.17,4.97,3.97,6.93,4.03,0.88,4.46,5.30,7.05,7.58,12.10,7.05,7.38,6.64,5.21,1.83,3.52,10.00,1.64,0.77,0.00,0.80,5.24,10.00,8.08,5.00,7.69,5.57,4.95,7.36,8.00,7.57,3.00,6.07,4.04,4.44,9.77,5.83,8.25,7.90,6.71,6.82,36,0.55
Croatia,5.56,4.83,4.59,8.33,7.16,4.64,8.39,5.44,1.00,6.12,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.72,9.98,8.35,10.00,7.00,4.62,3.67,5.10,7.87,8.00,6.62,10.00,8.21,5.57,2.64,6.72,6.00,7.51,10.00,6.41,1.58,6.67,9.29,6.22,8.52,7.69,6.66,7.09,47,0.858
Cyprus,6.83,6.23,6.62,8.33,8.13,4.00,7.30,6.40,0.88,6.33,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.79,9.32,8.05,10.00,10.00,5.38,5.00,6.80,8.22,10.00,3.50,10.00,7.83,5.57,4.95,6.29,10.00,10.00,1.00,6.30,4.45,7.56,9.75,7.90,5.00,8.66,7.22,7.12,57,0.896
Czech Republic,6.83,6.28,6.23,10.00,7.88,4.28,8.17,6.64,1.00,7.04,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.55,9.98,8.26,10.00,10.00,3.08,5.00,6.03,8.08,10.00,7.88,9.00,8.96,8.90,4.24,7.82,10.00,7.76,10.00,8.12,2.91,6.22,9.20,7.21,6.91,7.42,6.65,7.91,54,0.889
Denmark,8.55,8.36,8.33,10.00,9.62,6.57,9.73,8.09,1.00,8.66,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.70,9.98,8.34,10.00,10.00,6.92,5.00,7.31,8.42,10.00,9.81,10.00,9.94,10.00,7.04,5.59,8.00,10.00,3.00,7.27,4.79,6.22,9.85,9.14,9.87,8.52,8.07,8.43,88,0.948
Djibouti,6.10,3.99,4.33,,4.31,3.16,7.71,,0.65,4.06,,,5.82,20.90,6.66,8.36,6.24,,4.62,4.62,10.00,7.00,3.85,10.00,6.95,6.95,,9.61,9.00,9.30,1.10,,,6.00,10.00,10.00,6.78,,1.56,9.13,5.07,8.53,9.15,6.69,7.59,27,0.509
Dominican Republic,4.77,4.54,5.46,5.00,5.23,3.53,8.26,3.02,1.00,4.98,8.81,1.78,8.48,7.60,5.96,10.11,7.75,5.48,8.88,7.18,10.00,8.20,3.85,0.00,4.02,7.24,5.00,6.57,10.00,7.19,5.57,4.42,6.07,8.00,2.78,10.00,6.14,3.27,5.11,9.33,5.82,7.55,6.45,6.25,6.53,28,0.767
Ecuador,3.93,3.70,4.46,2.50,5.05,4.31,8.82,4.64,1.00,4.68,6.53,5.20,7.54,12.30,4.93,12.67,6.34,3.89,5.24,4.57,10.00,7.00,1.54,0.00,2.85,5.94,8.00,7.57,10.00,8.52,4.43,2.56,6.22,6.00,0.65,10.00,4.98,2.47,3.11,8.10,5.81,8.76,2.56,5.14,6.21,39,0.74
Egypt,5.63,4.25,6.90,1.67,4.68,3.33,8.20,6.39,0.41,3.62,8.28,2.58,6.20,19.00,0.00,138.89,4.83,5.75,2.02,3.89,10.00,4.17,4.62,0.00,2.93,5.41,2.00,2.90,10.00,4.97,10.00,4.91,7.84,8.00,0.65,0.00,5.23,4.03,4.00,9.39,2.29,8.10,5.85,5.61,5.27,33,0.731
El Salvador,4.66,3.48,4.39,4.17,4.26,3.27,8.17,2.57,1.00,4.37,9.26,1.11,8.80,6.00,6.66,8.34,8.24,5.22,8.54,6.88,10.00,7.00,3.08,0.00,3.36,7.12,8.00,5.54,10.00,7.85,4.43,3.46,7.32,6.00,2.60,3.00,4.47,2.46,5.33,9.01,4.10,5.85,8.12,5.81,6.04,36,0.675
Estonia,7.79,7.17,7.38,8.33,7.73,5.98,9.50,8.31,1.00,7.78,8.60,2.10,8.98,5.10,6.51,8.72,8.03,7.02,9.94,8.48,10.00,10.00,5.38,5.00,6.80,8.33,10.00,10.00,9.00,9.67,6.67,5.98,8.67,4.00,9.25,3.00,6.26,5.20,8.89,9.83,9.65,9.24,9.44,8.71,8.21,75,0.89
Eswatini,4.37,5.18,5.99,,4.23,1.59,7.20,6.53,0.53,3.83,0.25,14.63,8.46,7.70,5.60,11.01,4.77,5.81,3.28,4.55,10.00,1.64,0.77,0.00,0.80,5.03,8.00,5.54,10.00,7.85,8.90,4.12,5.87,10.00,6.89,10.00,7.63,4.04,4.00,8.50,3.70,8.68,6.64,5.93,7.13,33,0.597
Ethiopia,3.99,4.20,4.05,3.33,5.72,5.55,7.04,3.94,0.88,4.45,6.61,5.09,6.52,17.40,5.34,11.66,6.15,4.35,9.81,7.08,4.84,1.64,0.00,0.00,0.55,4.66,2.00,8.97,10.00,6.99,6.67,4.15,3.74,10.00,7.04,10.00,6.93,3.74,3.78,9.20,5.51,9.02,8.63,6.65,6.86,38,0.498
Fiji,4.19,6.05,4.41,,6.55,4.88,7.71,,0.94,5.47,6.93,4.60,7.72,11.40,0.00,33.63,4.88,5.86,6.53,6.19,10.00,1.64,0.00,0.00,0.55,5.41,10.00,8.70,10.00,9.57,8.90,5.45,5.25,10.00,8.27,10.00,7.98,4.58,6.44,8.57,5.08,8.62,7.23,6.75,8.10,,0.73
Finland,8.57,8.67,9.34,10.00,9.64,6.29,7.52,9.54,1.00,8.70,8.60,2.10,8.98,5.10,6.51,8.72,8.03,7.94,9.13,8.54,10.00,10.00,3.08,1.56,4.88,7.86,10.00,7.79,10.00,9.26,3.90,4.32,2.80,8.00,10.00,3.00,5.34,6.49,7.56,9.56,8.93,9.86,8.99,8.56,7.72,85,0.94
France,7.14,7.26,7.03,8.33,8.19,5.64,6.81,7.10,1.00,7.19,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.01,9.98,8.00,10.00,10.00,5.38,5.00,6.80,8.21,8.00,5.72,10.00,7.91,2.23,4.45,6.63,4.00,8.13,10.00,5.91,4.28,7.33,9.86,9.33,7.44,8.44,7.78,7.20,69,0.903
Gabon,4.23,3.32,4.17,3.33,5.06,2.92,4.86,2.78,0.41,2.71,7.33,4.00,6.46,17.70,6.18,9.56,6.66,4.22,3.57,3.89,10.00,1.64,1.54,0.00,1.06,5.40,5.00,10.00,10.00,8.33,7.23,4.35,5.86,8.00,8.50,10.00,7.33,3.44,4.22,9.53,8.05,6.43,2.92,5.77,7.14,30,0.706
Gambia,6.14,5.62,5.05,3.33,6.45,3.76,6.06,6.53,0.88,5.05,6.86,4.71,7.58,12.10,7.05,7.38,7.16,5.46,4.80,5.13,8.54,10.00,7.69,0.00,5.90,6.68,10.00,9.35,8.00,9.12,10.00,5.17,6.86,10.00,5.51,10.00,7.92,5.45,4.00,9.22,6.75,8.09,6.35,6.64,7.89,37,0.5
Georgia,5.50,5.73,6.25,,6.52,6.80,9.98,7.07,1.00,6.83,9.89,0.16,9.72,1.40,8.71,3.22,9.44,6.50,9.58,8.04,10.00,10.00,6.92,0.00,5.64,8.28,10.00,2.61,10.00,7.54,6.67,5.79,7.08,8.00,9.25,3.00,6.63,6.08,7.78,9.95,7.50,9.89,7.58,8.13,7.43,56,0.802
Germany,7.62,7.90,7.18,10.00,8.59,7.04,6.85,6.83,1.00,7.75,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.56,9.18,7.87,10.00,10.00,3.08,5.00,6.03,7.98,5.00,8.47,9.00,7.49,8.90,6.10,6.01,8.00,6.26,10.00,7.54,5.69,6.00,9.58,9.91,8.86,7.56,7.93,7.66,80,0.942
Ghana,6.07,4.40,5.40,5.00,6.04,3.72,7.37,5.09,0.94,5.23,8.68,1.98,7.58,12.10,7.05,7.38,7.77,5.63,3.96,4.80,10.00,0.00,3.85,0.00,1.28,5.96,8.00,3.62,10.00,7.21,10.00,5.61,6.31,8.00,0.00,10.00,6.65,4.76,4.67,9.45,3.65,8.14,7.47,6.36,6.74,43,0.632
Greece,6.21,4.75,5.00,8.33,7.44,3.07,7.93,5.12,1.00,5.98,8.60,2.10,8.98,5.10,6.51,8.72,8.03,6.24,9.44,7.84,10.00,10.00,5.38,5.00,6.80,8.17,10.00,0.00,9.00,6.33,5.57,4.60,5.58,6.00,5.51,3.00,5.04,2.62,4.67,9.86,7.05,7.98,7.84,6.67,6.01,50,0.887
Guatemala,5.12,3.66,5.31,6.67,4.78,3.39,8.36,3.32,0.94,4.93,9.31,1.03,8.88,5.60,7.51,6.22,8.57,5.46,6.62,6.04,10.00,10.00,6.92,0.00,5.64,7.56,10.00,7.34,10.00,9.11,3.33,4.71,6.90,4.00,1.27,10.00,5.04,3.37,5.33,9.34,4.24,7.22,7.22,6.12,6.76,25,0.627
Guinea,4.34,3.56,3.99,0.83,3.96,5.39,7.59,5.30,0.82,3.99,9.26,1.11,7.58,12.10,7.05,7.38,7.96,4.08,1.91,3.00,10.00,0.00,0.83,0.00,0.28,5.31,,8.79,10.00,9.40,5.57,4.53,6.32,6.00,8.13,3.00,5.59,4.42,3.33,9.15,2.51,8.44,5.52,5.56,6.85,28,0.465
Guinea-Bissau,4.05,2.99,1.52,4.17,4.68,3.30,7.32,,0.41,2.83,6.65,5.03,7.58,12.10,7.05,7.38,7.09,5.76,4.33,5.04,10.00,1.64,0.77,0.00,0.80,5.73,10.00,6.64,5.00,7.21,3.33,4.98,7.08,8.00,2.52,3.00,4.82,3.22,2.89,8.78,2.88,8.54,7.56,5.64,5.89,19,0.483
Guyana,5.60,5.06,4.43,6.67,4.56,4.45,7.62,5.80,0.94,5.36,,,7.66,11.70,4.81,12.99,6.23,4.54,1.45,3.00,10.00,7.17,5.38,0.00,4.18,5.85,10.00,0.00,9.00,6.33,8.90,4.82,7.51,4.00,7.41,10.00,7.11,4.18,4.00,9.32,6.00,7.52,7.13,6.36,6.60,41,0.714
Haiti,3.78,2.92,2.68,0.00,2.74,3.88,2.76,2.39,0.82,2.41,,,9.02,4.90,7.41,6.47,8.22,3.71,7.27,5.49,10.00,10.00,6.15,10.00,8.72,8.11,8.00,9.14,7.00,8.05,6.67,4.65,6.94,10.00,10.00,10.00,8.04,2.32,0.67,4.97,2.21,9.30,7.94,4.57,6.89,18,0.535
Honduras,4.66,3.57,4.43,4.17,4.29,2.64,7.59,3.51,0.94,4.23,9.48,0.78,8.84,5.80,6.66,8.35,8.33,5.19,4.10,4.64,10.00,1.64,2.31,0.00,1.32,6.07,10.00,7.90,9.00,8.97,0.00,4.56,5.74,8.00,2.52,10.00,5.14,2.97,4.22,8.36,4.60,8.75,7.72,6.10,6.74,24,0.621
"Hong Kong SAR, China",7.37,8.57,8.71,6.67,6.65,6.13,6.95,8.93,1.00,7.50,10.00,0.00,10.00,0.00,10.00,0.00,10.00,8.32,9.67,8.99,10.00,10.00,7.69,0.11,5.93,8.73,10.00,6.40,10.00,8.80,10.00,8.06,8.63,10.00,9.50,10.00,9.37,7.31,8.44,9.95,5.00,9.79,9.61,8.35,8.84,77,0.952
Hungary,5.42,5.59,4.95,10.00,6.28,4.62,8.03,5.91,1.00,6.35,8.60,2.10,8.98,5.10,6.51,8.72,8.03,5.71,9.97,7.84,10.00,10.00,3.85,0.00,4.62,7.62,8.00,6.86,9.00,7.95,7.23,5.02,6.24,4.00,7.76,10.00,6.71,3.30,6.22,9.61,6.52,7.78,6.90,6.72,7.13,44,0.846
Iceland,7.93,8.36,8.20,10.00,9.05,6.78,8.75,9.02,1.00,8.51,9.91,0.13,9.38,3.10,4.27,14.32,7.85,5.47,8.78,7.12,10.00,7.60,5.38,5.00,6.00,7.74,2.00,4.95,10.00,5.65,5.57,7.15,4.70,8.00,10.00,10.00,7.57,5.00,7.11,9.59,8.43,9.55,8.43,8.02,7.08,75,0.959
