countries,judicial independence,impartial courts,protection of property rights,military interference in rule of law and politics,integrity of the legal system,legal enforcement of contracts,regulatory restrictions on the sale of real property,reliability of police,gender legal rights adjustment,legal system & property rights,revenue from trade taxes (% of trade sector),mean tariff rate,standard deviation of tariff rates,tariffs,non-tariff trade barriers,compliance costs of importing and exporting,regulatory trade barriers,black market exchange rates,financial openness,capital controls,freedom of foreigners to visit,controls of the movement of capital and people,freedom to trade internationally,ownership of banks,private sector credit,interest rate controls/negative real interest rates),credit market regulations,hiring regulations and minimum wage,hiring and firing regulations,centralized collective bargaining,hours regulations,mandated cost of worker dismissal,conscription,labor market regulations,administrative requirements,regulatory burden,starting a business,impartial public administration,licensing restrictions,tax compliance,business regulations,regulation,corruption perceptions index,human development index,categories
Congo,3.9,3.39,3.69,5.0,2.87,3.01,4.51,5.6,0.59,2.99,9.32,7.62,7.0,7.98,4.41,0.0,2.21,10.0,1.64,1.54,0.0,1.06,5.31,0.0,10.0,4.0,4.67,1.1,5.05,6.64,4.0,7.53,10.0,5.72,3.25,2.67,7.75,4.28,8.23,3.25,4.91,5.1,19.0,0.571,medium
Costa Rica,7.32,6.15,6.61,10.0,6.59,3.52,8.67,6.03,0.94,6.66,8.71,8.88,6.39,8.0,4.97,7.47,6.22,10.0,10.0,6.15,4.78,6.98,7.8,5.0,3.59,10.0,6.2,2.23,4.32,5.91,8.0,5.66,10.0,6.02,2.78,4.67,9.16,9.21,8.67,8.31,7.13,6.45,57.0,0.809,very_high
Cote d'Ivoire,4.59,4.28,4.94,4.17,4.97,3.97,6.93,4.03,0.88,4.46,5.3,7.58,7.05,6.64,5.21,1.83,3.52,10.0,1.64,0.77,0.0,0.8,5.24,10.0,8.08,5.0,7.69,5.57,4.95,7.36,8.0,7.57,3.0,6.07,4.04,4.44,9.77,5.83,8.25,7.9,6.71,6.82,36.0,0.55,low
Croatia,5.56,4.83,4.59,8.33,7.16,4.64,8.39,5.44,1.0,6.12,8.6,8.98,6.51,8.03,6.72,9.98,8.35,10.0,7.0,4.62,3.67,5.1,7.87,8.0,6.62,10.0,8.21,5.57,2.64,6.72,6.0,7.51,10.0,6.41,1.58,6.67,9.29,6.22,8.52,7.69,6.66,7.09,47.0,0.858,very_high
Cyprus,6.83,6.23,6.62,8.33,8.13,4.0,7.3,6.4,0.88,6.33,8.6,8.98,6.51,8.03,6.79,9.32,8.05,10.0,10.0,5.38,5.0,6.8,8.22,10.0,3.5,10.0,7.83,5.57,4.95,6.29,10.0,10.0,1.0,6.3,4.45,7.56,9.75,7.9,5.0,8.66,7.22,7.12,57.0,0.896,very_high
Czech Republic,6.83,6.28,6.23,10.0,7.88,4.28,8.17,6.64,1.0,7.04,8.6,8.98,6.51,8.03,6.55,9.98,8.26,10.0,10.0,3.08,5.0,6.03,8.08,10.0,7.88,9.0,8.96,8.9,4.24,7.82,10.0,7.76,10.0,8.12,2.91,6.22,9.2,7.21,6.91,7.42,6.65,7.91,54.0,0.889,very_high
Denmark,8.55,8.36,8.33,10.0,9.62,6.57,9.73,8.09,1.0,8.66,8.6,8.98,6.51,8.03,6.7,9.98,8.34,10.0,10.0,6.92,5.0,7.31,8.42,10.0,9.81,10.0,9.94,10.0,7.04,5.59,8.0,10.0,3.0,7.27,4.79,6.22,9.85,9.14,9.87,8.52,8.07,8.43,88.0,0.948,very_high
Djibouti,6.1,3.99,4.33,6.4,4.31,3.16,7.71,5.6,0.65,4.06,8.29,5.82,6.66,6.24,5.65,4.62,4.62,10.0,7.0,3.85,10.0,6.95,6.95,7.6,9.61,9.0,9.3,1.1,4.75,6.45,6.0,10.0,10.0,6.78,4.14,1.56,9.13,5.07,8.53,9.15,6.69,7.59,27.0,0.509,low
Dominican Republic,4.77,4.54,5.46,5.0,5.23,3.53,8.26,3.02,1.0,4.98,8.81,8.48,5.96,7.75,5.48,8.88,7.18,10.0,8.2,3.85,0.0,4.02,7.24,5.0,6.57,10.0,7.19,5.57,4.42,6.07,8.0,2.78,10.0,6.14,3.27,5.11,9.33,5.82,7.55,6.45,6.25,6.53,28.0,0.767,high
Ecuador,3.93,3.7,4.46,2.5,5.05,4.31,8.82,4.64,1.0,4.68,6.53,7.54,4.93,6.34,3.89,5.24,4.57,10.0,7.0,1.54,0.0,2.85,5.94,8.0,7.57,10.0,8.52,4.43,2.56,6.22,6.0,0.65,10.0,4.98,2.47,3.11,8.1,5.81,8.76,2.56,5.14,6.21,39.0,0.74,high
Egypt,5.63,4.25,6.9,1.67,4.68,3.33,8.2,6.39,0.41,3.62,8.28,6.2,0.0,4.83,5.75,2.02,3.89,10.0,4.17,4.62,0.0,2.93,5.41,2.0,2.9,10.0,4.97,10.0,4.91,7.84,8.0,0.65,0.0,5.23,4.03,4.0,9.39,2.29,8.1,5.85,5.61,5.27,33.0,0.731,high
El Salvador,4.66,3.48,4.39,4.17,4.26,3.27,8.17,2.57,1.0,4.37,9.26,8.8,6.66,8.24,5.22,8.54,6.88,10.0,7.0,3.08,0.0,3.36,7.12,8.0,5.54,10.0,7.85,4.43,3.46,7.32,6.0,2.6,3.0,4.47,2.46,5.33,9.01,4.1,5.85,8.12,5.81,6.04,36.0,0.675,medium
Estonia,7.79,7.17,7.38,8.33,7.73,5.98,9.5,8.31,1.0,7.78,8.6,8.98,6.51,8.03,7.02,9.94,8.48,10.0,10.0,5.38,5.0,6.8,8.33,10.0,10.0,9.0,9.67,6.67,5.98,8.67,4.0,9.25,3.0,6.26,5.2,8.89,9.83,9.65,9.24,9.44,8.71,8.21,75.0,0.89,very_high
Eswatini,4.37,5.18,5.99,6.4,4.23,1.59,7.2,6.53,0.53,3.83,0.25,8.46,5.6,4.77,5.81,3.28,4.55,10.0,1.64,0.77,0.0,0.8,5.03,8.0,5.54,10.0,7.85,8.9,4.12,5.87,10.0,6.89,10.0,7.63,4.04,4.0,8.5,3.7,8.68,6.64,5.93,7.13,33.0,0.597,medium
Ethiopia,3.99,4.2,4.05,3.33,5.72,5.55,7.04,3.94,0.88,4.45,6.61,6.52,5.34,6.15,4.35,9.81,7.08,4.84,1.64,0.0,0.0,0.55,4.66,2.0,8.97,10.0,6.99,6.67,4.15,3.74,10.0,7.04,10.0,6.93,3.74,3.78,9.2,5.51,9.02,8.63,6.65,6.86,38.0,0.498,low
Fiji,4.19,6.05,4.41,6.4,6.55,4.88,7.71,5.6,0.94,5.47,6.93,7.72,0.0,4.88,5.86,6.53,6.19,10.0,1.64,0.0,0.0,0.55,5.41,10.0,8.7,10.0,9.57,8.9,5.45,5.25,10.0,8.27,10.0,7.98,4.58,6.44,8.57,5.08,8.62,7.23,6.75,8.1,44.18,0.73,high
Finland,8.57,8.67,9.34,10.0,9.64,6.29,7.52,9.54,1.0,8.7,8.6,8.98,6.51,8.03,7.94,9.13,8.54,10.0,10.0,3.08,1.56,4.88,7.86,10.0,7.79,10.0,9.26,3.9,4.32,2.8,8.0,10.0,3.0,5.34,6.49,7.56,9.56,8.93,9.86,8.99,8.56,7.72,85.0,0.94,very_high
France,7.14,7.26,7.03,8.33,8.19,5.64,6.81,7.1,1.0,7.19,8.6,8.98,6.51,8.03,6.01,9.98,8.0,10.0,10.0,5.38,5.0,6.8,8.21,8.0,5.72,10.0,7.91,2.23,4.45,6.63,4.0,8.13,10.0,5.91,4.28,7.33,9.86,9.33,7.44,8.44,7.78,7.2,69.0,0.903,very_high
Gabon,4.23,3.32,4.17,3.33,5.06,2.92,4.86,2.78,0.41,2.71,7.33,6.46,6.18,6.66,4.22,3.57,3.89,10.0,1.64,1.54,0.0,1.06,5.4,5.0,10.0,10.0,8.33,7.23,4.35,5.86,8.0,8.5,10.0,7.33,3.44,4.22,9.53,8.05,6.43,2.92,5.77,7.14,30.0,0.706,high
Gambia,6.14,5.62,5.05,3.33,6.45,3.76,6.06,6.53,0.88,5.05,6.86,7.58,7.05,7.16,5.46,4.8,5.13,8.54,10.0,7.69,0.0,5.9,6.68,10.0,9.35,8.0,9.12,10.0,5.17,6.86,10.0,5.51,10.0,7.92,5.45,4.0,9.22,6.75,8.09,6.35,6.64,7.89,37.0,0.5,low
Georgia,5.5,5.73,6.25,6.4,6.52,6.8,9.98,7.07,1.0,6.83,9.89,9.72,8.71,9.44,6.5,9.58,8.04,10.0,10.0,6.92,0.0,5.64,8.28,10.0,2.61,10.0,7.54,6.67,5.79,7.08,8.0,9.25,3.0,6.63,6.08,7.78,9.95,7.5,9.89,7.58,8.13,7.43,56.0,0.802,very_high
Germany,7.62,7.9,7.18,10.0,8.59,7.04,6.85,6.83,1.0,7.75,8.6,8.98,6.51,8.03,6.56,9.18,7.87,10.0,10.0,3.08,5.0,6.03,7.98,5.0,8.47,9.0,7.49,8.9,6.1,6.01,8.0,6.26,10.0,7.54,5.69,6.0,9.58,9.91,8.86,7.56,7.93,7.66,80.0,0.942,very_high
Ghana,6.07,4.4,5.4,5.0,6.04,3.72,7.37,5.09,0.94,5.23,8.68,7.58,7.05,7.77,5.63,3.96,4.8,10.0,0.0,3.85,0.0,1.28,5.96,8.0,3.62,10.0,7.21,10.0,5.61,6.31,8.0,0.0,10.0,6.65,4.76,4.67,9.45,3.65,8.14,7.47,6.36,6.74,43.0,0.632,medium
Greece,6.21,4.75,5.0,8.33,7.44,3.07,7.93,5.12,1.0,5.98,8.6,8.98,6.51,8.03,6.24,9.44,7.84,10.0,10.0,5.38,5.0,6.8,8.17,10.0,0.0,9.0,6.33,5.57,4.6,5.58,6.0,5.51,3.0,5.04,2.62,4.67,9.86,7.05,7.98,7.84,6.67,6.01,50.0,0.887,very_high
Guatemala,5.12,3.66,5.31,6.67,4.78,3.39,8.36,3.32,0.94,4.93,9.31,8.88,7.51,8.57,5.46,6.62,6.04,10.0,10.0,6.92,0.0,5.64,7.56,10.0,7.34,10.0,9.11,3.33,4.71,6.9,4.0,1.27,10.0,5.04,3.37,5.33,9.34,4.24,7.22,7.22,6.12,6.76,25.0,0.627,medium
Guinea,4.34,3.56,3.99,0.83,3.96,5.39,7.59,5.3,0.82,3.99,9.26,7.58,7.05,7.96,4.08,1.91,3.0,10.0,0.0,0.83,0.0,0.28,5.31,7.6,8.79,10.0,9.4,5.57,4.53,6.32,6.0,8.13,3.0,5.59,4.42,3.33,9.15,2.51,8.44,5.52,5.56,6.85,28.0,0.465,low
Guinea-Bissau,4.05,2.99,1.52,4.17,4.68,3.3,7.32,5.6,0.41,2.83,6.65,7.58,7.05,7.09,5.76,4.33,5.04,10.0,1.64,0.77,0.0,0.8,5.73,10.0,6.64,5.0,7.21,3.33,4.98,7.08,8.0,2.52,3.0,4.82,3.22,2.89,8.78,2.88,8.54,7.56,5.64,5.89,19.0,0.483,low
Guyana,5.6,5.06,4.43,6.67,4.56,4.45,7.62,5.8,0.94,5.36,8.29,7.66,4.81,6.23,4.54,1.45,3.0,10.0,7.17,5.38,0.0,4.18,5.85,10.0,0.0,9.0,6.33,8.9,4.82,7.51,4.0,7.41,10.0,7.11,4.18,4.0,9.32,6.0,7.52,7.13,6.36,6.6,41.0,0.714,high
Haiti,3.78,2.92,2.68,0.0,2.74,3.88,2.76,2.39,0.82,2.41,8.29,9.02,7.41,8.22,3.71,7.27,5.49,10.0,10.0,6.15,10.0,8.72,8.11,8.0,9.14,7.0,8.05,6.67,4.65,6.94,10.0,10.0,10.0,8.04,2.32,0.67,4.97,2.21,9.3,7.94,4.57,6.89,18.0,0.535,low
Honduras,4.66,3.57,4.43,4.17,4.29,2.64,7.59,3.51,0.94,4.23,9.48,8.84,6.66,8.33,5.19,4.1,4.64,10.0,1.64,2.31,0.0,1.32,6.07,10.0,7.9,9.0,8.97,0.0,4.56,5.74,8.0,2.52,10.0,5.14,2.97,4.22,8.36,4.6,8.75,7.72,6.1,6.74,24.0,0.621,medium
"Hong Kong SAR, China",7.37,8.57,8.71,6.67,6.65,6.13,6.95,8.93,1.0,7.5,10.0,10.0,10.0,10.0,8.32,9.67,8.99,10.0,10.0,7.69,0.11,5.93,8.73,10.0,6.4,10.0,8.8,10.0,8.06,8.63,10.0,9.5,10.0,9.37,7.31,8.44,9.95,5.0,9.79,9.61,8.35,8.84,77.0,0.952,very_high
Hungary,5.42,5.59,4.95,10.0,6.28,4.62,8.03,5.91,1.0,6.35,8.6,8.98,6.51,8.03,5.71,9.97,7.84,10.0,10.0,3.85,0.0,4.62,7.62,8.0,6.86,9.0,7.95,7.23,5.02,6.24,4.0,7.76,10.0,6.71,3.3,6.22,9.61,6.52,7.78,6.9,6.72,7.13,44.0,0.846,very_high
Iceland,7.93,8.36,8.2,10.0,9.05,6.78,8.75,9.02,1.0,8.51,9.91,9.38,4.27,7.85,5.47,8.78,7.12,10.0,7.6,5.38,5.0,6.0,7.74,2.0,4.95,10.0,5.65,5.57,7.15,4.7,8.0,10.0,10.0,7.57,5.0,7.11,9.59,8.43,9.55,8.43,8.02,7.08,75.0,0.959,very_high
India,6.23,5.82,5.69,6.67,6.86,4.43,6.34,5.34,0.88,5.57,9.09,7.0,3.46,6.52,5.76,7.35,6.55,10.0,1.64,0.0,0.0,0.55,5.9,2.0,5.84,10.0,5.95,6.67,5.26,6.28,4.0,6.3,10.0,6.42,5.18,6.0,9.37,5.67,9.18,7.18,7.1,6.49,40.0,0.633,medium
Indonesia,5.85,4.92,6.15,4.17,5.28,4.33,6.69,5.62,0.82,4.9,9.55,8.2,5.94,9.55,5.53,4.38,4.96,10.0,4.17,1.54,0.0,1.9,6.6,5.0,8.01,10.0,7.67,1.1,5.83,6.34,10.0,0.0,5.0,4.71,5.08,5.78,9.54,6.1,7.65,7.86,7.0,6.46,37.0,0.705,high
